Eyetracker timestamp,   Gaze point X,   Gaze point Y,   Gaze point left X,  Gaze point left Y,  Gaze point right X, Gaze point right Y, Validity left,  Validity right, area_flg
6514731673.0,           1616.0,         575.0,          1646.0,             566.0,              1586.0,             583.0,              Valid,          Valid,          opt-2
6514748580.0,1616.0,623.0,1665.0,603.0,1568.0,644.0,Valid,Valid,opt-2
6514764705.0,1573.0,647.0,1613.0,642.0,1533.0,652.0,Valid,Valid,opt-1
6514781639.0,1611.0,570.0,1655.0,543.0,1568.0,598.0,Valid,Valid,opt-2
6514798495.0,1607.0,592.0,1650.0,576.0,1565.0,608.0,Valid,Valid,opt-2
6514814625.0,1570.0,628.0,1611.0,629.0,1528.0,628.0,Valid,Valid,opt-2
6514831605.0,1591.0,599.0,1640.0,586.0,1542.0,612.0,Valid,Valid,opt-2
6514848503.0,1591.0,608.0,1645.0,575.0,1536.0,640.0,Valid,Valid,opt-2
6514864545.0,1587.0,618.0,1653.0,588.0,1520.0,647.0,Valid,Valid,opt-2
6514881571.0,1601.0,602.0,1650.0,570.0,1551.0,634.0,Valid,Valid,opt-2
6514898418.0,1587.0,586.0,1650.0,567.0,1525.0,605.0,Valid,Valid,opt-2
6514914465.0,1586.0,585.0,1650.0,575.0,1522.0,595.0,Valid,Valid,opt-2
6514931537.0,1589.0,611.0,1659.0,599.0,1519.0,622.0,Valid,Valid,opt-2
6514948292.0,1595.0,612.0,1650.0,583.0,1539.0,641.0,Valid,Valid,opt-2
6514964385.0,1603.0,609.0,1643.0,580.0,1562.0,638.0,Valid,Valid,opt-2
6514981406.0,1554.0,632.0,1623.0,623.0,1485.0,642.0,Valid,Valid,opt-2
6514998263.0,1555.0,640.0,1614.0,622.0,1497.0,658.0,Valid,Valid,opt-1
6515014305.0,1604.0,594.0,1644.0,565.0,1563.0,623.0,Valid,Valid,opt-2
6515031372.0,1476.0,566.0,1488.0,569.0,1464.0,564.0,Valid,Valid,opt-2
6515048183.0,1268.0,568.0,1256.0,580.0,1280.0,555.0,Valid,Valid,opt-2
6515064225.0,1267.0,554.0,1290.0,562.0,1244.0,547.0,Valid,Valid,opt-2
6515081242.0,1260.0,605.0,1282.0,606.0,1238.0,605.0,Valid,Valid,opt-2
6515098098.0,1261.0,609.0,1285.0,615.0,1238.0,602.0,Valid,Valid,opt-2
6515114145.0,1279.0,584.0,1298.0,591.0,1260.0,577.0,Valid,Valid,opt-2
6515131208.0,1265.0,574.0,,,1265.0,574.0,Invalid,Valid,opt-2
6515148023.0,1262.0,565.0,1261.0,580.0,1264.0,549.0,Valid,Valid,opt-2
6515164065.0,1273.0,559.0,1285.0,580.0,1260.0,538.0,Valid,Valid,opt-2
6515181174.0,1271.0,557.0,1294.0,587.0,1248.0,527.0,Valid,Valid,opt-2
6515197943.0,1286.0,563.0,1292.0,588.0,1280.0,538.0,Valid,Valid,opt-2
6515213985.0,1185.0,545.0,1161.0,566.0,1210.0,524.0,Valid,Valid,opt-2
6515231140.0,914.0,507.0,846.0,500.0,982.0,513.0,Valid,Valid,opt-2
6515247812.0,500.0,493.0,500.0,493.0,,,Valid,Invalid,question_graph
6515263905.0,432.0,454.0,410.0,481.0,454.0,427.0,Valid,Valid,question_graph
6515281106.0,427.0,452.0,414.0,475.0,439.0,430.0,Valid,Valid,question_graph
6515297783.0,492.0,483.0,509.0,505.0,474.0,461.0,Valid,Valid,question_graph
6515313825.0,513.0,504.0,529.0,533.0,497.0,475.0,Valid,Valid,question_graph
6515330975.0,526.0,469.0,526.0,469.0,,,Valid,Invalid,question_graph
6515347698.0,526.0,448.0,532.0,459.0,519.0,437.0,Valid,Valid,question_graph
6515363745.0,530.0,464.0,556.0,479.0,503.0,449.0,Valid,Valid,question_graph
6515380941.0,495.0,453.0,502.0,489.0,488.0,417.0,Valid,Valid,question_graph
6515397613.0,479.0,442.0,472.0,466.0,486.0,419.0,Valid,Valid,question_graph
6515413665.0,474.0,443.0,465.0,457.0,483.0,430.0,Valid,Valid,question_graph
6515430903.0,471.0,452.0,448.0,460.0,493.0,445.0,Valid,Valid,question_graph
6515447543.0,468.0,455.0,437.0,467.0,498.0,442.0,Valid,Valid,question_graph
6515463585.0,478.0,441.0,442.0,459.0,513.0,422.0,Valid,Valid,question_graph
6515480772.0,711.0,446.0,689.0,452.0,733.0,441.0,Valid,Valid,question_graph
6515497458.0,1236.0,459.0,1212.0,426.0,1260.0,492.0,Valid,Valid,opt-3
