Eyetracker timestamp,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Validity left,Validity right,area_flg
293060771.0,566.0,550.0,578.0,571.0,554.0,528.0,Valid,Valid,question_graph
293077411.0,558.0,545.0,575.0,577.0,541.0,513.0,Valid,Valid,question_graph
293093453.0,552.0,554.0,567.0,574.0,536.0,534.0,Valid,Valid,question_graph
293110691.0,554.0,556.0,561.0,570.0,546.0,542.0,Valid,Valid,question_graph
293127331.0,515.0,545.0,517.0,554.0,513.0,536.0,Valid,Valid,question_graph
293143373.0,491.0,540.0,497.0,551.0,486.0,529.0,Valid,Valid,question_graph
293160560.0,499.0,535.0,506.0,541.0,491.0,529.0,Valid,Valid,question_graph
293177251.0,495.0,539.0,504.0,543.0,485.0,535.0,Valid,Valid,question_graph
293193293.0,496.0,528.0,512.0,536.0,479.0,519.0,Valid,Valid,question_graph
293210526.0,488.0,530.0,506.0,545.0,471.0,516.0,Valid,Valid,question_graph
293227171.0,494.0,537.0,509.0,554.0,480.0,519.0,Valid,Valid,question_graph
293243213.0,496.0,552.0,509.0,554.0,483.0,551.0,Valid,Valid,question_graph
293260451.0,570.0,536.0,577.0,542.0,563.0,530.0,Valid,Valid,question_graph
293277091.0,770.0,503.0,751.0,518.0,788.0,489.0,Valid,Valid,question_graph
293293133.0,961.0,487.0,964.0,489.0,957.0,485.0,Valid,Valid,question_graph
293310320.0,1027.0,497.0,1034.0,496.0,1021.0,499.0,Valid,Valid,opt-2
293327011.0,1029.0,501.0,1042.0,508.0,1016.0,494.0,Valid,Valid,opt-2
293343053.0,1035.0,500.0,1048.0,501.0,1023.0,500.0,Valid,Valid,opt-2
293360189.0,1035.0,512.0,1049.0,508.0,1022.0,516.0,Valid,Valid,opt-2
293376931.0,1048.0,509.0,1057.0,511.0,1038.0,508.0,Valid,Valid,opt-2
293392973.0,1048.0,506.0,1060.0,503.0,1037.0,510.0,Valid,Valid,opt-2
293410155.0,1049.0,503.0,1062.0,496.0,1036.0,511.0,Valid,Valid,opt-2
293426851.0,1038.0,518.0,1054.0,504.0,1022.0,532.0,Valid,Valid,opt-2
293442893.0,1048.0,510.0,1062.0,502.0,1033.0,518.0,Valid,Valid,opt-2
293460025.0,1049.0,509.0,1061.0,500.0,1037.0,519.0,Valid,Valid,opt-2
293476771.0,1082.0,465.0,1079.0,469.0,1085.0,462.0,Valid,Valid,opt-2
293492813.0,1114.0,433.0,1109.0,439.0,1118.0,427.0,Valid,Valid,opt-2
293509894.0,1111.0,428.0,1108.0,437.0,1114.0,420.0,Valid,Valid,opt-2
293526691.0,1113.0,427.0,1118.0,423.0,1109.0,432.0,Valid,Valid,opt-2
293542733.0,1113.0,422.0,1115.0,422.0,1112.0,423.0,Valid,Valid,opt-2
293559860.0,1119.0,422.0,1112.0,424.0,1125.0,421.0,Valid,Valid,opt-2
293576611.0,1118.0,421.0,1122.0,420.0,1113.0,421.0,Valid,Valid,opt-2
293592653.0,1114.0,413.0,1108.0,416.0,1120.0,411.0,Valid,Valid,opt-2
293609730.0,1116.0,416.0,1118.0,412.0,1114.0,419.0,Valid,Valid,opt-2
293626531.0,1112.0,418.0,1114.0,417.0,1111.0,419.0,Valid,Valid,opt-2
293642573.0,1103.0,428.0,1111.0,426.0,1094.0,430.0,Valid,Valid,opt-2
293659599.0,914.0,359.0,905.0,361.0,923.0,357.0,Valid,Valid,question_graph
293676451.0,654.0,270.0,639.0,274.0,668.0,266.0,Valid,Valid,question_graph
293692493.0,398.0,186.0,372.0,193.0,423.0,178.0,Valid,Valid,question_graph
293709565.0,321.0,181.0,315.0,189.0,328.0,173.0,Valid,Valid,question_graph
