,Unnamed: 0,Recording timestamp,Computer timestamp,Eyetracker timestamp,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Eye movement event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
7262,7262,136805014,6541848872,6560180242.0,262.0,1106.0,247.0,1160.0,277.0,1053.0,-0.22934,0.23497,-0.94456,-0.2972,0.19764,-0.93414,3.12,3.446,3.283,Valid,Valid,253.5,183.5,751.2,317.4,178.1,747.6,71.1,370.4,79.5,336.3,,,,,0.144,0.9748,Fixation,233.0,378.0,268.0,1114.0,,
7263,7263,136821691,6541865549,6560196918.0,276.0,1098.0,260.0,1159.0,291.0,1037.0,-0.22515,0.235,-0.94556,-0.29291,0.19174,-0.93672,3.112,3.455,3.289,Valid,Valid,253.6,183.6,750.9,317.4,178.2,747.3,74.8,370.2,83.7,331.2,,,,,0.1517,0.96,Fixation,233.0,378.0,268.0,1114.0,,
7264,7264,136838382,6541882240,6560213608.0,278.0,1101.0,265.0,1154.0,292.0,1047.0,-0.22377,0.23341,-0.94628,-0.29262,0.1957,-0.93599,3.136,3.452,3.294,Valid,Valid,253.6,183.6,750.7,317.5,178.3,747.1,76.1,368.8,83.9,334.5,,,,,0.152,0.9695,Fixation,233.0,378.0,268.0,1114.0,,
7265,7265,136854931,6541898789,6560230156.0,267.0,1113.0,264.0,1173.0,269.0,1053.0,-0.22362,0.24047,-0.94455,-0.3001,0.19755,-0.93323,3.136,3.453,3.296,Valid,Valid,253.7,183.5,750.8,317.6,178.2,747.2,76.0,374.6,77.3,336.4,,,,,0.1401,0.975,Fixation,233.0,378.0,268.0,1114.0,,
7266,7266,136871614,6541915472,6560246838.0,268.0,1107.0,279.0,1162.0,257.0,1051.0,-0.21875,0.23689,-0.94659,-0.30407,0.19667,-0.93213,3.151,3.466,3.308,Valid,Valid,253.8,183.4,751.0,317.7,178.1,747.4,80.2,371.3,73.9,335.8,,,,,0.1339,0.9733,Fixation,233.0,378.0,268.0,1114.0,,
7267,7267,136888255,6541932113,6560263478.0,278.0,1105.0,275.0,1154.0,281.0,1056.0,-0.2203,0.23372,-0.94702,-0.29614,0.19892,-0.9342,3.187,3.464,3.313,Valid,Valid,253.8,183.2,751.4,317.8,178.0,747.9,79.0,368.7,80.7,337.2,,,,,0.1462,0.9774,Fixation,233.0,378.0,268.0,1114.0,,
7268,7268,136904850,6541948708,6560280072.0,272.0,1126.0,268.0,1193.0,275.0,1059.0,-0.22146,0.24823,-0.94305,-0.29776,0.20034,-0.93338,3.16,3.482,3.325,Valid,Valid,253.8,182.9,752.3,317.9,177.7,748.7,77.2,380.9,79.1,338.4,,,,,0.1433,0.9809,Fixation,233.0,378.0,268.0,1114.0,,
7269,7269,136921537,6541965395,6560296758.0,268.0,1122.0,264.0,1190.0,273.0,1053.0,-0.22301,0.24746,-0.94288,-0.29837,0.19819,-0.93365,3.177,3.515,3.334,Valid,Valid,253.9,182.7,752.9,318.0,177.5,749.3,75.8,380.3,78.5,336.5,,,,,0.1423,0.9754,Fixation,233.0,378.0,268.0,1114.0,,
7270,7270,136938128,6541981986,6560313348.0,254.0,1131.0,265.0,1180.0,243.0,1082.0,-0.22261,0.24354,-0.944,-0.30735,0.20833,-0.92851,3.202,3.472,3.352,Valid,Valid,253.9,182.6,753.1,318.0,177.3,749.6,76.3,376.9,69.9,345.5,,,,,,,Fixation,233.0,378.0,268.0,1114.0,,
7271,7271,136954769,6541998627,6560329988.0,255.0,1131.0,253.0,1197.0,257.0,1065.0,-0.22626,0.24984,-0.94148,-0.30317,0.20255,-0.93116,3.199,3.505,3.354,Valid,Valid,253.9,182.5,753.1,318.0,177.3,749.5,72.9,382.3,74.0,340.3,,,,,0.1341,0.9865,Fixation,233.0,378.0,268.0,1114.0,,
