,Unnamed: 0,Recording timestamp,Computer timestamp,Eyetracker timestamp,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Eye movement type,Eye movement event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
6439,6439,122376834,965492697,980832877.0,266.0,245.0,255.0,229.0,278.0,261.0,-0.21106,-0.14297,-0.96696,-0.27925,-0.1287,-0.95156,2.871,2.807,2.843,Valid,Valid,236.6,183.8,748.5,299.8,184.6,749.7,73.3,73.1,79.8,83.2,0.1387,0.2266,0.1327,0.212,0.1446,0.2413,Saccade,50.0,355.0,,,,
6440,6440,122393434,965509297,980849476.0,211.0,213.0,206.0,203.0,217.0,224.0,-0.22771,-0.1524,-0.96173,-0.29872,-0.14203,-0.94371,2.864,2.815,2.841,Valid,Valid,236.6,183.5,749.3,299.8,184.3,750.5,59.2,64.8,62.3,71.4,0.11,0.1974,0.1072,0.1878,0.1128,0.207,Saccade,50.0,355.0,,,,
6441,6441,122409642,965525505,980865683.0,211.0,205.0,215.0,207.0,206.0,204.0,-0.22444,-0.15083,-0.96274,-0.3018,-0.14945,-0.94158,2.865,2.806,2.84,Valid,Valid,236.6,183.4,749.5,299.9,184.3,750.6,61.9,66.0,59.3,65.1,0.1098,0.1901,0.1122,0.1913,0.1075,0.1888,Fixation,233.0,301.0,213.0,196.0,0.1109,0.1811
6442,6442,122426706,965542569,980882746.0,217.0,197.0,216.0,195.0,218.0,199.0,-0.22405,-0.1553,-0.96212,-0.2977,-0.15111,-0.94262,2.866,2.823,2.843,Valid,Valid,236.7,183.3,750.2,300.0,184.1,751.3,62.0,62.2,62.7,63.7,0.113,0.1824,0.1123,0.1802,0.1136,0.1846,Fixation,233.0,301.0,213.0,196.0,0.1109,0.1811
6443,6443,122443255,965559118,980899294.0,218.0,198.0,220.0,183.0,216.0,213.0,-0.22223,-0.15979,-0.96181,-0.29871,-0.14577,-0.94314,2.86,2.821,2.843,Valid,Valid,236.7,183.2,750.5,300.1,184.1,751.6,63.3,58.5,62.0,67.9,0.1135,0.1832,0.1146,0.1696,0.1124,0.1969,Fixation,233.0,301.0,213.0,196.0,0.1109,0.1811
6444,6444,122459565,965575428,980915603.0,209.0,193.0,209.0,171.0,208.0,216.0,-0.22584,-0.16434,-0.9602,-0.30135,-0.14444,-0.94251,2.867,2.825,2.844,Valid,Valid,236.7,183.2,750.8,300.2,184.1,751.9,60.1,54.7,59.8,68.9,0.1086,0.1791,0.1089,0.1586,0.1083,0.1996,Fixation,233.0,301.0,213.0,196.0,0.1109,0.1811
6445,6445,122476578,965592441,980932615.0,212.0,192.0,223.0,195.0,200.0,189.0,-0.22115,-0.15476,-0.96288,-0.30316,-0.15447,-0.94034,2.862,2.793,2.845,Valid,Valid,236.7,183.1,751.4,300.3,184.1,752.6,64.1,62.3,57.6,60.4,0.1103,0.1779,0.1162,0.1807,0.1044,0.1751,Fixation,233.0,301.0,213.0,196.0,0.1109,0.1811
6446,6446,122493173,965609036,980949209.0,210.0,197.0,214.0,190.0,206.0,204.0,-0.22412,-0.1566,-0.9619,-0.30157,-0.14868,-0.94178,2.886,2.822,2.845,Valid,Valid,236.7,183.1,752.1,300.3,184.0,753.2,61.5,60.6,59.1,65.1,0.1093,0.1822,0.1114,0.1757,0.1071,0.1887,Fixation,233.0,301.0,213.0,196.0,0.1109,0.1811
6447,6447,122509488,965625351,980965523.0,214.0,194.0,220.0,178.0,209.0,209.0,-0.22175,-0.16137,-0.96166,-0.30045,-0.14653,-0.94248,2.874,2.833,2.841,Valid,Valid,236.7,183.1,752.5,300.4,184.0,753.7,63.2,56.8,60.1,66.8,0.1117,0.1792,0.1145,0.1647,0.1089,0.1937,Fixation,233.0,301.0,213.0,196.0,0.1109,0.1811
6448,6448,122526451,965642314,980982485.0,216.0,185.0,223.0,180.0,208.0,189.0,-0.22054,-0.16074,-0.96204,-0.30051,-0.15443,-0.94119,2.864,2.817,2.843,Valid,Valid,236.7,183.2,752.5,300.4,184.1,753.7,64.2,57.5,59.8,60.5,0.1123,0.171,0.1164,0.1666,0.1083,0.1753,Fixation,233.0,301.0,213.0,196.0,0.1109,0.1811
